mal_id,title,type,episodes,members,genres_clean,source,air_year,air_season,airing_start_clean
6654,Namakura Gatana,Movie,1.0,5505,"['Comedy', 'Samurai']",Original,1917,spring,1917-06-29
10742,Saru to Kani no Gassen,Movie,1.0,604,['Drama'],Other,1917,spring,1917-05-19
23187,Chamebou Shin Gachou: Nomi Fuufu Shikaeshi no Maki,Movie,1.0,276,['Comedy'],Original,1917,spring,1917-04-27
18457,Hanasaka Jijii,Movie,1.0,760,"['Comedy', 'Drama']",Other,1917,summer,1917-08-25
23183,Itazura Post,Movie,1.0,282,['Comedy'],Original,1917,summer,1917-07-27
24573,Neko to Nezumi,Movie,1.0,277,['Comedy'],Original,1917,summer,1917-07-03
23185,Chamebou Kuukijuu no Maki,Movie,1.0,264,['Comedy'],Original,1917,summer,1917-08-10
10757,Kachikachi Yama,Movie,1.0,439,['Drama'],Other,1917,fall,1917-10-19
10756,Shita-kiri Suzume,Movie,1.0,307,['Drama'],Original,1917,fall,1917-10-17
23191,Chokin no Susume,Movie,1.0,283,['Comedy'],Original,1917,fall,1917-10-06
23181,Otogi Banashi: Bunbuku Chagama,Movie,1.0,231,['Kids'],Other,1917,fall,1917-10-09
7485,Urashima Tarou,Movie,1.0,1856,['Historical'],Other,1918,winter,1918-01-31
10758,Momotarou,Movie,1.0,440,['Drama'],Original,1918,winter,1918-02-28
22511,Kobutori,Movie,1.0,381,"['Comedy', 'Demons']",Other,1918,winter,1918-03-18
10760,Issunboushi,Movie,1.0,376,['Drama'],Original,1918,winter,1918-03-19
10759,Kintarou,Movie,1.0,285,['Drama'],Original,1918,winter,1918-03-15
30957,Yukidaruma,Movie,1.0,253,"['Fantasy', 'Historical']",Original,1918,winter,1918-02-14
21761,Ari to Hato,Movie,1.0,236,['Kids'],Other,1918,summer,1918-07-17
7497,Mikan-bune,Movie,1.0,769,['Historical'],Other,1927,winter,1927-02-10
39083,Chinsetsu Yoshida Goten,Movie,1.0,132,[],Novel,1928,spring,1928-04-26
7498,Doubutsu Olympic Taikai,Movie,1.0,705,"['Comedy', 'Sports']",Original,1928,summer,1928-09-03
28045,Kogane no Hana,Movie,1.0,630,"['Action', 'Adventure', 'Fantasy', 'Historical']",Original,1929,winter,1929-03-11
35491,Kaeru wa Kaeru,Movie,1.0,180,['Historical'],Original,1929,winter,1929-02-15
5873,Tarou-san no Kisha,Movie,1.0,1300,['Action'],Original,1929,spring,1929-06-17
5875,Kobutori (1929),Movie,1.0,2474,"['Comedy', 'Demons']",Other,1929,fall,1929-10-13
23759,Oira no Ski,Movie,1.0,666,"['Comedy', 'Sports']",Original,1930,winter,1930-03-06
15137,Entotsuya Peroo,Movie,1.0,371,['Kids'],Original,1930,spring,1930-04-12
35390,Osekisho,Movie,1.0,293,['Kids'],Original,1930,spring,1930-05-19
28695,Nonsense Monogatari Dai Ippen: Sarugashima,Movie,1.0,687,['Adventure'],Original,1931,winter,1931-02-09
4393,Kokka Kimigayo,Movie,1.0,1457,"['Music', 'Historical']",Original,1931,spring,1931-04-30
35490,Tanukichi no Ohanashi,Movie,1.0,181,"['Historical', 'Fantasy']",Original,1931,spring,1931-05-27
5661,Umi no Momotarou,Movie,1.0,1065,['Samurai'],Original,1932,winter,1932-01-25
5870,Hibari no Yadogae,Movie,1.0,953,['Action'],Original,1933,winter,1933-01-30
28051,Kaeru San Yuushi,Movie,1.0,548,"['Adventure', 'Comedy']",Original,1933,winter,1933-02-27
5871,Norakuro Nitouhei: Kyouren no Maki,Movie,1.0,758,"['Action', 'Adventure']",Manga,1933,spring,1933-06-13
4395,Norakuro Nitouhei: Enshuu no Maki,Movie,1.0,705,['Adventure'],Manga,1933,spring,1933-06-13
7354,Chikara to Onna no Yo no Naka,Movie,1.0,409,['Historical'],Original,1933,spring,1933-04-12
4397,Osaru no Sankichi: Totsugeki-tai,Movie,1.0,947,['Military'],Original,1934,winter,1934-03-23
4394,Norakuro Gochou,Movie,1.0,858,['Adventure'],Manga,1934,winter,1934-03-08
35212,Adauchi Karasu,Movie,1.0,227,[],-,1934,winter,1934-03-19
6837,Tengu Taiji,Movie,1.0,958,['Comedy'],Original,1934,spring,1934-06-25
6823,Omocha Bako Series Dai 3 Wa: Ehon 1936-nen,Movie,1.0,896,['Fantasy'],Other,1934,spring,1934-04-12
23265,Genroku Koi Moyou: Sankichi to Osayo,Movie,1.0,508,"['Adventure', 'Romance']",Original,1934,spring,1934-06-22
23089,Ponsuke no Haru,Movie,1.0,428,"['Comedy', 'Kids']",Original,1934,summer,1934-07-31
33133,Kachikachi Yama: Umi Yama-hen,Movie,1.0,213,['Fantasy'],Other,1934,summer,1934-08-07
6834,Taa-chan no Kaitei Ryokou,Movie,1.0,902,['Adventure'],Original,1935,winter,1935-03-25
17076,Chagama Ondo,Movie,1.0,828,"['Comedy', 'Supernatural']",Original,1935,winter,1935-03-18
6836,Issunboushi: Chibisuke Monogatari,Movie,1.0,860,"['Action', 'Samurai']",Original,1935,spring,1935-05-07
